Energy(eV);Delta;Beta
2360.37231;0.000133849637;2.72376201E-06
2376.51562;0.000132010318;2.65102972E-06
2392.76929;0.000130196771;2.58023647E-06
2409.13403;0.000128408181;2.51133451E-06
2425.61108;0.000126644329;2.44424609E-06
2442.20068;0.000124904851;2.37893596E-06
2458.90356;0.000123189369;2.31535569E-06
2475.7207;0.000121497775;2.2534216E-06
2492.65283;0.000119829405;2.19314484E-06
2509.70093;0.000118184296;2.1344697E-06
2526.86548;0.000116561816;2.07736548E-06
2544.14746;0.000114961775;2.02177102E-06
2561.54785;0.000113383816;1.96764609E-06
2579.06689;0.000111827612;1.91496179E-06
2596.70605;0.000110293142;1.86363093E-06
2614.46582;0.000108779728;1.81367716E-06
2632.34692;0.00010728732;1.76507763E-06
2650.35034;0.00010581543;1.71778288E-06
2668.47681;0.000104363913;1.67171947E-06
2686.72754;0.000102932478;1.62684705E-06
2705.10278;0.000101520731;1.58317891E-06
2723.60376;0.000100128585;1.54067163E-06
2742.23145;9.87555031E-05;1.49930747E-06
2760.98633;9.74015202E-05;1.45903698E-06
2779.86963;9.6066171E-05;1.41984231E-06
2798.88208;9.47492299E-05;1.38170174E-06
2818.02441;9.34505006E-05;1.34458992E-06
2837.29761;9.21695973E-05;1.30847241E-06
2856.70288;9.0906542E-05;1.27323597E-06
2876.24072;8.96607889E-05;1.23894779E-06
2895.91211;8.84322872E-05;1.20560583E-06
2915.71826;8.72206729E-05;1.17317063E-06
2935.65991;8.60257569E-05;1.14159468E-06
2955.73755;8.48474228E-05;1.11083955E-06
2975.95288;8.36851978E-05;1.08091433E-06
2996.3064;8.2539198E-05;1.05178026E-06
3016.79907;8.1408878E-05;1.02342995E-06
3037.43164;8.02941722E-05;9.95828714E-07
3058.20581;7.91947605E-05;9.6896224E-07
3079.12183;7.81104827E-05;9.42814722E-07
3100.18091;7.70412371E-05;9.1736166E-07
3121.38379;7.59866452E-05;8.9259629E-07
3142.73218;7.49466562E-05;8.68482687E-07
3164.22607;7.39209354E-05;8.45019542E-07
3185.86719;7.2909359E-05;8.22181278E-07
3207.65649;7.19117015E-05;7.99953796E-07
3229.59448;7.09277519E-05;7.78323681E-07
3251.68286;6.99574011E-05;7.57262001E-07
3273.92188;6.90003435E-05;7.36772336E-07
3296.31323;6.80565281E-05;7.1682399E-07
3318.85791;6.71256494E-05;6.97413839E-07
3341.55664;6.62075909E-05;6.78523577E-07
3364.4104;6.53021852E-05;6.60139278E-07
3387.42065;6.44091924E-05;6.42250995E-07
3410.58838;6.35285469E-05;6.24833035E-07
3433.91431;6.26599576E-05;6.07888069E-07
3457.40015;6.18033591E-05;5.91390972E-07
3481.04614;6.09585186E-05;5.75340323E-07
3504.85425;6.01252905E-05;5.59719126E-07
3528.82495;5.93035511E-05;5.44514705E-07
3552.95972;5.84930531E-05;5.29722627E-07
3577.25952;5.76937782E-05;5.15320266E-07
3601.72559;5.69054282E-05;5.01309955E-07
3626.35864;5.61279412E-05;4.87673162E-07
3651.1604;5.53610953E-05;4.74403635E-07
3676.13208;5.4604785E-05;4.61492419E-07
3701.27417;5.38588974E-05;4.48926329E-07
3726.58813;5.31232145E-05;4.36702777E-07
3752.07568;5.23976705E-05;4.24801044E-07
3777.73706;5.1682051E-05;4.13224456E-07
3803.57422;5.09762904E-05;4.01954026E-07
3829.58813;5.02802141E-05;3.90986798E-07
3855.77979;4.95936874E-05;3.80316465E-07
3882.15088;4.89166232E-05;3.69933758E-07
3908.7019;4.82488067E-05;3.59835184E-07
3935.43481;4.75901616E-05;3.50002978E-07
3962.35034;4.69405277E-05;3.40439584E-07
3989.4502;4.62998214E-05;3.31162539E-07
4016.73511;4.56679263E-05;3.22153937E-07
4044.20703;4.50446714E-05;3.13377029E-07
4071.86646;4.4430024E-05;3.04799499E-07
4099.71533;4.38237621E-05;2.96457728E-07
4127.75488;4.32258421E-05;2.88337077E-07
4155.98535;4.26361112E-05;2.80438599E-07
4184.40967;4.20544566E-05;2.72755841E-07
4213.02783;4.14807873E-05;2.65283205E-07
4241.84229;4.0914947E-05;2.58014296E-07
4270.85352;4.03569065E-05;2.50938768E-07
4300.06299;3.98064731E-05;2.44057702E-07
4329.47266;3.92636139E-05;2.37362869E-07
4359.08301;3.87281725E-05;2.30852194E-07
4388.89648;3.82000617E-05;2.24518786E-07
4418.91357;3.76792013E-05;2.18357826E-07
4449.13574;3.71654533E-05;2.1236572E-07
4479.56445;3.6658781E-05;2.06533812E-07
4510.20215;3.61589991E-05;2.00862473E-07
4541.04834;3.56661076E-05;1.95344143E-07
4572.10645;3.51799354E-05;1.89976518E-07
4603.37646;3.47004316E-05;1.84755095E-07
4634.85986;3.42275089E-05;1.79674771E-07
4666.55908;3.3761029E-05;1.74734453E-07
4698.47559;3.33009666E-05;1.69928555E-07
4730.60986;3.28471833E-05;1.65255329E-07
4762.96387;3.23996137E-05;1.60708751E-07
4795.53955;3.1958145E-05;1.56286461E-07
4828.3374;3.15227335E-05;1.5198556E-07
4861.35986;3.10933101E-05;1.47801615E-07
4894.60791;3.06697402E-05;1.43733288E-07
4928.08398;3.02519711E-05;1.397745E-07
4961.78857;2.98399009E-05;1.3592522E-07
4995.72363;2.94334677E-05;1.32180745E-07
5029.89111;2.90325825E-05;1.28538289E-07
5064.29199;2.86371778E-05;1.24995637E-07
5098.92822;2.82471974E-05;1.21548652E-07
5133.80127;2.78625303E-05;1.1819737E-07
5168.91357;2.74831491E-05;1.14937968E-07
5204.26514;2.71089448E-05;1.11768863E-07
5239.8584;2.673987E-05;1.08685413E-07
5275.69531;2.63758411E-05;1.05685942E-07
5311.77783;2.60167653E-05;1.02769086E-07
5348.10645;2.56625972E-05;9.99312348E-08
5384.68408;2.53132475E-05;9.71719487E-08
5421.51172;2.49687E-05;9.44871559E-08
5458.59082;2.46288528E-05;9.18766503E-08
5495.92383;2.42936549E-05;8.93378811E-08
5533.51221;2.39630426E-05;8.68689511E-08
5571.35791;2.36369324E-05;8.44686951E-08
5609.46191;2.33152932E-05;8.21353296E-08
5647.82666;2.29980305E-05;7.98668367E-08
5686.45361;2.26851098E-05;7.76587399E-08
5725.34521;2.23764491E-05;7.55113092E-08
5764.50244;2.20720067E-05;7.34228536E-08
5803.92773;2.17717206E-05;7.13913906E-08
5843.62256;2.14755273E-05;6.94163376E-08
5883.58936;2.11833958E-05;6.74945326E-08
5923.82861;2.08952461E-05;6.56263666E-08
5964.34375;2.06110235E-05;6.38101056E-08
6005.13574;2.03306681E-05;6.20442364E-08
6046.20654;2.00541472E-05;6.03269399E-08
6087.55811;1.97814134E-05;5.86570721E-08
6129.19336;1.9512383E-05;5.70336631E-08
6171.1123;1.92470452E-05;5.5453139E-08
6213.31885;1.8985309E-05;5.39167822E-08
6255.81348;1.87271544E-05;5.24228021E-08
6298.59863;1.84725195E-05;5.09703177E-08
6341.67725;1.8221348E-05;4.95579755E-08
6385.0498;1.79736144E-05;4.81845284E-08
6428.71924;1.77292477E-05;4.68494932E-08
6472.68701;1.74882152E-05;4.55507418E-08
